,agentId,runtimeEnvironmentId,startedBy,executionState,successTargetRows,type,failedSourceRows,errorMsg,successSourceRows,entries,objectName,failedTargetRows,taskName,startTime,id,runId,runContextType,taskId,scheduleName
10,,,,RUNNING,7068,WORKFLOW,0,,7068,"
            ",,0,tf_SimplifyCSS_Events_Axeda_to_SNOW_sdbalerts,2020-10-11T03:45:05.000Z,001Q1O0E00000004HS85,37351,SCHEDULER,001Q1O0N0000000000S1,APP_INTEGRATION_SCHEDULE_Runs_Every_5_minutes
11,001Q1O0800000000000A,001Q1O2500000000000S,,RUNNING,7400,MTT,0,No errors encountered.,7400,,,0,mt_SimplifyCSS_Landing_Copy_QA,2020-10-11T03:25:01.000Z,001Q1O0E00000004HSFC,37358,SCHEDULER,001Q1O0Z00000000034S,APP_INTEGRATION_SCHEDULE_Runs_Every_5_minutes
12,001Q1O0800000000000B,001Q1O2500000000000S,app_int_wsconsumer_wd-prd,RUNNING,0,MTT,0,No errors encountered.,1010,,,0,mt_SNOW_ABL_Server_TPANode,2020-10-11T03:42:26.000Z,001Q1O0E00000004HSGK,1773,REST_API_V2,001Q1O0Z0000000002WD,
13,,,teradata.edw-prod@teradata.com,RUNNING,89800,WORKFLOW,0,,89800,"
            ",,0,TRANSCEND_PS_SFDC_FF_tf_processinstancestep_RAW_STG,2020-10-11T03:45:07.000Z,001Q1O0E00000004HSGL,40,REST_API_V2,001Q1O0N0000000000VL,
14,,,teradata.edw-prod@teradata.com,RUNNING,0,WORKFLOW,0,,0,"
            ",,0,TRANSCEND_CS_ENG_SN_CRNW_tf_ast_contract_TMP,2020-10-11T03:45:10.000Z,001Q1O0E00000004HSGN,129,REST_API_V2,001Q1O0N0000000000SK,
15,,,teradata.edw-prod@teradata.com,RUNNING,2,WORKFLOW,0,,2,"
            ",,0,TRANSCEND_SLS_SFDC_tf_opfcst_nrt_opportunity_batch,2020-10-11T03:45:13.000Z,001Q1O0E00000004HSGQ,19995,REST_API_V2,001Q1O0N0000000000I1,
16,001Q1O0800000000000B,001Q1O2500000000000S,app_int_wsconsumer_wd-prd,RUNNING,0,MTT,0,No errors encountered.,497,,,0,mt_SNOW_ABL_DiskArray_SubClasses_ArrayController,2020-10-11T03:42:25.000Z,001Q1O0E00000004HSJL,1773,REST_API_V2,001Q1O0Z0000000002XH,
17,001Q1O0800000000000A,001Q1O2500000000000S,app_int_wsconsumer_wd-prd,RUNNING,0,MTT,0,No errors encountered.,942,,,0,mt_SNOW_ABL_DiskArray_SubClasses_Tray,2020-10-11T03:42:25.000Z,001Q1O0E00000004HSJM,1773,REST_API_V2,001Q1O0Z0000000002X1,
18,001Q1O0800000000000A,001Q1O2500000000000S,app_int_wsconsumer_wd-prd,RUNNING,0,MTT,0,No errors encountered.,74047,,,0,mt_SNOW_ABL_Server_SubClasses_2_BackPlane,2020-10-11T03:42:25.000Z,001Q1O0E00000004HSJN,1773,REST_API_V2,001Q1O0Z0000000002WI,
19,,,,RUNNING,0,WORKFLOW,0,,30,"
            ",,0,tf_PROWATCH2EVERBRIDGE_LOCATION_DATA,2020-10-11T03:45:01.000Z,001Q1O0E00000004HSJO,45005,SCHEDULER,001Q1O0N0000000000PC,APP_INTEGRATOPN_SCHEDULE_Runs_Every_5_minutes
20,,,teradata.edw-prod@teradata.com,RUNNING,0,WORKFLOW,0,,0,"
            ",,0,TRANSCEND_CS_ENG_SN_Ref_tf_metric_definition_TMP,2020-10-11T03:45:10.000Z,001Q1O0E00000004HSJQ,131,REST_API_V2,001Q1O0N0000000000SA,
21,,,teradata.edw-prod@teradata.com,RUNNING,0,WORKFLOW,0,,0,"
            ",,0,TRANSCEND_CS_ENG_SN_CMGMT_tf_alm_stockroom_TMP,2020-10-11T03:45:10.000Z,001Q1O0E00000004HSJT,131,REST_API_V2,001Q1O0N0000000000QK,
22,,,teradata.edw-prod@teradata.com,RUNNING,141168,WORKFLOW,0,,141168,"
            ",,0,TRANSCEND_PS_SFDC_FF_tf_processinstance_RAW_STG,2020-10-11T03:45:07.000Z,001Q1O0E00000004HSP4,40,REST_API_V2,001Q1O0N0000000000VO,
